iter	Passed	Remaining
314	400	871
315	401	869
316	402	866
317	403	864
318	403	862
319	404	860
320	405	857
321	406	855
322	407	853
323	408	851
324	408	849
325	409	847
326	410	845
327	411	842
328	412	840
329	413	838
330	413	836
331	414	834
332	415	832
333	416	830
334	417	828
335	418	826
336	418	824
337	419	821
338	420	819
339	421	818
340	422	816
341	423	814
342	424	812
343	424	810
344	425	808
345	426	806
346	427	804
347	428	802
348	429	800
349	429	798
350	430	796
351	431	794
352	432	792
353	433	790
354	433	788
355	434	786
356	435	784
357	436	782
358	437	781
359	438	779
360	439	777
361	439	775
362	440	773
363	441	771
364	442	769
365	443	767
366	444	765
367	444	764
368	445	762
369	446	760
370	447	758
371	448	756
372	449	754
373	449	753
374	450	751
375	451	749
376	452	748
377	453	746
378	455	746
379	456	745
380	457	743
381	458	742
382	459	740
383	460	739
384	461	737
385	462	735
386	463	733
387	464	731
388	464	730
389	465	728
390	466	727
391	467	725
392	468	723
393	469	722
394	470	720
395	471	719
396	472	717
397	473	716
398	474	714
399	474	712
400	475	710
401	476	709
402	477	707
403	478	705
404	479	703
405	479	702
406	480	700
407	482	699
408	483	698
409	484	696
410	485	695
411	486	694
412	488	693
413	490	693
414	491	692
415	492	691
416	493	690
417	494	688
418	496	688
419	497	687
420	499	686
421	500	685
422	502	684
423	503	683
424	504	682
425	505	681
426	506	680
427	508	679
428	509	677
429	510	676
430	511	675
431	513	675
432	514	673
433	515	672
434	516	671
435	518	670
436	519	669
437	520	667
438	521	666
439	522	665
440	523	664
441	526	664
442	527	663
443	530	664
444	532	663
445	534	664
446	536	663
447	537	662
448	539	661
449	541	661
450	542	660
451	544	660
452	545	658
453	546	657
454	547	655
455	548	654
456	549	653
457	550	651
458	552	650
459	553	649
460	554	647
461	555	646
462	555	644
463	556	643
464	557	641
465	558	640
466	559	638
467	560	637
468	561	636
469	562	634
470	564	633
471	565	632
472	567	632
473	569	631
474	570	630
475	572	629
476	573	629
477	574	627
478	575	626
479	576	624
480	577	623
481	578	622
482	579	620
483	581	619
484	582	618
485	583	616
486	584	615
